"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitudinal Acceleration"	"Latitude"	"GPS Lateral Acceleration"	"Heading"	"RPM"	"GPS Distance"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"Longitude"	"GPS Speed"	"Number of Satellites"	"Throttle Position"
2021-04-23	20:49:32	1	4600000000	3541084332	-0.410000	40.583187	-0.153458	268.100000	0.000000	168.304649	-0.354308	0.330000	-112.377909	103.400000	13.000000	0.000000
2021-04-23	20:49:32	1	4700000000	3641084332	-0.390000	40.583186	-0.227071	267.600000	0.000000	171.151636	-0.396825	0.310000	-112.377943	102.000000	14.000000	0.000000
2021-04-23	20:49:32	1	4800000000	3741084332	-0.360000	40.583184	-0.174187	267.200000	0.000000	173.968618	-0.439342	0.300000	-112.377976	100.600000	14.000000	0.000000
2021-04-23	20:49:32	1	4900000000	3841084332	-0.360000	40.583183	-0.146780	266.900000	0.000000	176.738071	-0.552721	0.330000	-112.378008	98.900000	14.000000	0.000000
2021-04-23	20:49:32	1	5000000000	3941084332	-0.370000	40.583181	-0.191353	266.600000	0.000000	179.452847	-0.623583	0.370000	-112.378039	96.700000	14.000000	0.000000
2021-04-23	20:49:32	1	5100000000	4041084332	-0.420000	40.583179	-0.210375	266.100000	0.000000	182.100716	-0.694444	0.410000	-112.378070	94.500000	14.000000	0.000000
2021-04-23	20:49:32	1	5200000000	4141084332	-0.450000	40.583177	-0.113535	265.700000	0.000000	184.696544	-0.736961	0.430000	-112.378100	91.800000	14.000000	0.000000
2021-04-23	20:49:32	1	5300000000	4241084332	-0.500000	40.583175	-0.220887	265.600000	0.000000	187.210428	-0.821995	0.460000	-112.378129	89.300000	14.000000	0.000000
2021-04-23	20:49:32	1	5400000000	4341084332	-0.550000	40.583172	-0.340359	264.700000	0.000000	189.633005	-0.878685	0.500000	-112.378157	86.000000	14.000000	0.000000
2021-04-23	20:49:32	1	5500000000	4441084332	-0.580000	40.583170	-0.246661	264.000000	0.000000	191.991371	-0.807823	0.510000	-112.378183	83.100000	14.000000	0.000000
2021-04-23	20:49:32	1	5600000000	4541084332	-0.600000	40.583167	-0.317800	263.500000	0.000000	194.262046	-0.793651	0.540000	-112.378210	80.300000	14.000000	0.000000
2021-04-23	20:49:32	1	5700000000	4641084332	-0.620000	40.583164	-0.460078	262.400000	0.000000	196.454585	-0.694444	0.580000	-112.378235	77.500000	14.000000	0.000000
2021-04-23	20:49:32	1	5800000000	4741084332	-0.600000	40.583161	-0.466262	261.100000	0.000000	198.573367	-0.637755	0.620000	-112.378259	75.400000	14.000000	0.000000
2021-04-23	20:49:32	1	5900000000	4841084332	-0.550000	40.583158	-0.451421	259.900000	0.000000	200.645758	-0.481859	0.650000	-112.378283	73.000000	14.000000	0.000000
2021-04-23	20:49:32	1	6000000000	4941084332	-0.480000	40.583154	-0.498666	258.600000	0.000000	202.663112	-0.283447	0.650000	-112.378306	72.000000	14.000000	0.000000
2021-04-23	20:49:32	1	6100000000	5041084332	-0.400000	40.583150	-0.649799	257.100000	0.000000	204.646099	-0.269274	0.650000	-112.378329	71.000000	14.000000	0.000000
2021-04-23	20:49:32	1	6200000000	5141084332	-0.280000	40.583146	-0.780278	254.900000	0.000000	206.609759	-0.198413	0.660000	-112.378351	70.100000	14.000000	0.000000
2021-04-23	20:49:32	1	6300000000	5241084332	-0.160000	40.583141	-0.843576	252.600000	0.000000	208.551649	-0.113379	0.680000	-112.378371	69.600000	14.000000	0.000000
2021-04-23	20:49:32	1	6400000000	5341084332	-0.050000	40.583135	-0.857082	250.000000	0.000000	210.480781	-0.113379	0.710000	-112.378392	69.300000	14.000000	0.000000
2021-04-23	20:49:32	1	6500000000	5441084332	0.000000	40.583128	-0.765808	247.600000	0.000000	212.399066	-0.056689	0.730000	-112.378414	68.800000	14.000000	0.000000
2021-04-23	20:49:32	1	6600000000	5541084332	0.080000	40.583121	-0.732836	245.500000	0.000000	214.312953	-0.014172	0.740000	-112.378434	68.900000	14.000000	0.000000
2021-04-23	20:49:32	1	6700000000	5641084332	0.130000	40.583113	-0.832668	243.300000	0.000000	216.222846	-0.085034	0.740000	-112.378453	68.700000	14.000000	0.000000
2021-04-23	20:49:32	1	6800000000	5741084332	0.180000	40.583105	-0.878503	240.600000	0.000000	218.127563	0.014172	0.770000	-112.378473	68.300000	14.000000	0.000000
2021-04-23	20:49:32	1	6900000000	5841084332	0.230000	40.583096	-0.799844	238.100000	0.000000	220.033462	0.141723	0.770000	-112.378492	68.800000	14.000000	0.000000
2021-04-23	20:49:32	1	7000000000	5941084332	0.300000	40.583086	-0.737090	235.900000	0.000000	221.951334	0.141723	0.720000	-112.378511	69.300000	14.000000	0.000000
2021-04-23	20:49:32	1	7100000000	6041084332	0.330000	40.583075	-0.742408	233.800000	0.000000	223.881771	0.042517	0.670000	-112.378529	69.800000	14.000000	0.000000
2021-04-23	20:49:32	1	7200000000	6141084332	0.350000	40.583065	-0.740281	231.600000	0.000000	225.818636	0.070862	0.660000	-112.378547	69.600000	14.000000	0.000000
2021-04-23	20:49:32	1	7300000000	6241084332	0.400000	40.583054	-0.747726	229.500000	0.000000	227.763458	0.226757	0.640000	-112.378565	70.300000	14.000000	0.000000
2021-04-23	20:49:32	1	7400000000	6341084332	0.430000	40.583042	-0.757299	227.300000	0.000000	229.728179	0.198413	0.630000	-112.378582	71.200000	14.000000	0.000000
2021-04-23	20:49:32	1	7500000000	6441084332	0.430000	40.583029	-0.762617	225.200000	0.000000	231.714049	0.155896	0.630000	-112.378599	71.700000	14.000000	0.000000
2021-04-23	20:49:32	1	7600000000	6541084332	0.440000	40.583016	-0.822650	223.000000	0.000000	233.712712	0.170068	0.630000	-112.378616	72.300000	14.000000	0.000000
2021-04-23	20:49:32	1	7700000000	6641084332	0.450000	40.583002	-0.811445	220.600000	0.000000	235.729154	0.170068	0.630000	-112.378631	72.900000	14.000000	0.000000
2021-04-23	20:49:32	1	7800000000	6741084332	0.460000	40.582988	-0.781762	218.500000	0.000000	237.761236	0.085034	0.630000	-112.378646	73.500000	14.000000	0.000000
