"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"GPS Longitudinal Acceleration"	"Throttle Position"	"Longitudinal Acceleration"	"Latitude"	"GPS Lateral Acceleration"	"Longitude"	"Lateral Acceleration"	"GPS Distance"	"Number of Satellites"	"GPS Speed"	"RPM"	"Heading"
2021-05-21	14:41:00	0	12100000000	12100000000	-0.099206	0.000000	-0.110000	40.583194	0.046354	-112.385265	-0.090000	249.646873	18.000000	93.700000	0.000000	269.600000
2021-05-21	14:41:00	0	12200000000	12200000000	-0.028345	0.000000	-0.100000	40.583194	0.092510	-112.385295	-0.090000	252.248106	18.000000	93.500000	0.000000	269.900000
2021-05-21	14:41:00	0	12300000000	12300000000	0.028345	0.000000	-0.070000	40.583194	0.138766	-112.385326	-0.100000	254.846068	18.000000	93.500000	0.000000	270.000000
2021-05-21	14:41:00	0	12400000000	12400000000	0.070862	0.000000	-0.050000	40.583195	0.278125	-112.385357	-0.100000	257.447218	19.000000	93.700000	0.000000	270.500000
2021-05-21	14:41:00	0	12500000000	12500000000	-0.028345	0.000000	-0.050000	40.583195	0.093005	-112.385388	-0.130000	260.052301	19.000000	94.000000	0.000000	271.200000
2021-05-21	14:41:00	0	12600000000	12600000000	-0.155896	0.000000	-0.030000	40.583195	-0.069383	-112.385419	-0.130000	262.653473	19.000000	93.500000	0.000000	270.900000
2021-05-21	14:41:00	0	12700000000	12700000000	-0.170068	0.000000	-0.040000	40.583196	0.022979	-112.385449	-0.120000	265.243023	19.000000	92.900000	0.000000	270.900000
2021-05-21	14:41:00	0	12800000000	12800000000	-0.198413	0.000000	-0.070000	40.583196	-0.022831	-112.385480	-0.120000	267.813296	19.000000	92.300000	0.000000	271.000000
2021-05-21	14:41:00	0	12900000000	12900000000	-0.141723	0.000000	-0.070000	40.583196	-0.090532	-112.385510	-0.080000	270.368347	19.000000	91.500000	0.000000	270.800000
2021-05-21	14:41:00	0	13000000000	13000000000	-0.056689	0.000000	-0.080000	40.583196	-0.135501	-112.385540	-0.060000	272.908352	19.000000	91.300000	0.000000	270.600000
2021-05-21	14:41:00	0	13100000000	13100000000	-0.028345	0.000000	-0.090000	40.583197	-0.022534	-112.385570	-0.050000	275.442179	19.000000	91.100000	0.000000	270.200000
2021-05-21	14:41:00	0	13200000000	13200000000	-0.070862	0.000000	-0.110000	40.583197	-0.045068	-112.385600	0.000000	277.972161	19.000000	91.100000	0.000000	270.500000
