"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"GPS Longitudinal Acceleration"	"RPM"	"Longitudinal Acceleration"	"Heading"	"Latitude"	"GPS Lateral Acceleration"	"Lateral Acceleration"	"Number of Satellites"	"Longitude"	"GPS Distance"	"Throttle Position"	"GPS Speed"
2021-05-21	19:44:00	1	4300000000	3292742438	0.297619	0.000000	0.260000	264.300000	40.583216	0.000000	-0.050000	16.000000	-112.383002	58.839580	0.000000	65.800000
2021-05-21	19:44:00	1	4400000000	3392742438	0.240930	0.000000	0.270000	264.200000	40.583215	0.032948	-0.070000	16.000000	-112.383024	60.679823	0.000000	66.600000
2021-05-21	19:44:00	1	4500000000	3492742438	0.255102	0.000000	0.250000	264.500000	40.583213	0.083482	-0.100000	16.000000	-112.383045	62.539433	0.000000	67.500000
2021-05-21	19:44:00	1	4600000000	3592742438	0.240930	0.000000	0.270000	264.700000	40.583211	0.050757	-0.090000	16.000000	-112.383067	64.426589	0.000000	68.400000
2021-05-21	19:44:00	1	4700000000	3692742438	0.240930	0.000000	0.260000	264.800000	40.583209	0.034234	-0.110000	16.000000	-112.383091	66.338037	0.000000	69.200000
2021-05-21	19:44:00	1	4800000000	3792742438	0.255102	0.000000	0.260000	264.900000	40.583208	0.052019	-0.090000	16.000000	-112.383113	68.275616	0.000000	70.100000
2021-05-21	19:44:00	1	4900000000	3892742438	0.311791	0.000000	0.270000	265.100000	40.583207	0.122935	-0.100000	16.000000	-112.383136	70.232991	0.000000	71.000000
2021-05-21	19:44:00	1	5000000000	3992742438	0.269274	0.000000	0.270000	265.600000	40.583205	0.143070	-0.110000	16.000000	-112.383161	72.222195	0.000000	72.300000
2021-05-21	19:44:00	1	5100000000	4092742438	0.184240	0.000000	0.280000	265.900000	40.583204	0.072128	-0.120000	16.000000	-112.383184	74.237458	0.000000	72.900000
2021-05-21	19:44:00	1	5200000000	4192742438	0.283447	0.000000	0.270000	266.000000	40.583203	0.018205	-0.120000	16.000000	-112.383208	76.276567	0.000000	73.600000
2021-05-21	19:44:00	1	5300000000	4292742438	0.340136	0.000000	0.240000	266.000000	40.583201	0.018527	-0.110000	16.000000	-112.383233	78.335994	0.000000	74.900000
2021-05-21	19:44:00	1	5400000000	4392742438	0.240930	0.000000	0.290000	266.100000	40.583200	0.037598	-0.110000	16.000000	-112.383258	80.429729	0.000000	76.000000
2021-05-21	19:44:00	1	5500000000	4492742438	0.269274	0.000000	0.260000	266.200000	40.583199	0.018947	-0.100000	16.000000	-112.383283	82.549720	0.000000	76.600000
2021-05-21	19:44:00	1	5600000000	4592742438	0.311791	0.000000	0.270000	266.200000	40.583198	0.038538	-0.090000	16.000000	-112.383308	84.700931	0.000000	77.900000
2021-05-21	19:44:00	1	5700000000	4692742438	0.283447	0.000000	0.290000	266.400000	40.583196	0.038983	-0.090000	16.000000	-112.383334	86.873958	0.000000	78.800000
2021-05-21	19:44:00	1	5800000000	4792742438	0.255102	0.000000	0.310000	266.400000	40.583195	-0.019764	-0.050000	16.000000	-112.383361	89.077153	0.000000	79.900000
2021-05-21	19:44:00	1	5900000000	4892742438	0.240930	0.000000	0.300000	266.300000	40.583194	0.019937	-0.030000	16.000000	-112.383387	91.306156	0.000000	80.600000
2021-05-21	19:44:00	1	6000000000	4992742438	0.269274	0.000000	0.290000	266.500000	40.583192	0.060552	-0.030000	16.000000	-112.383413	93.563185	0.000000	81.600000
2021-05-21	19:44:00	1	6100000000	5092742438	0.226757	0.000000	0.300000	266.600000	40.583191	0.000000	-0.030000	16.000000	-112.383440	95.838890	0.000000	82.500000
2021-05-21	19:44:00	1	6200000000	5192742438	0.240930	0.000000	0.280000	266.500000	40.583190	0.000000	-0.050000	16.000000	-112.383468	98.140311	0.000000	83.200000
2021-05-21	19:44:00	1	6300000000	5292742438	0.297619	0.000000	0.280000	266.600000	40.583189	0.041654	-0.050000	16.000000	-112.383495	100.466465	0.000000	84.200000
2021-05-21	19:44:00	1	6400000000	5392742438	0.255102	0.000000	0.250000	266.700000	40.583187	0.000000	-0.050000	16.000000	-112.383523	102.823256	0.000000	85.300000
2021-05-21	19:44:00	1	6500000000	5492742438	0.226757	0.000000	0.260000	266.600000	40.583186	-0.021272	-0.030000	16.000000	-112.383551	105.199488	0.000000	86.000000
2021-05-21	19:44:00	1	6600000000	5592742438	0.269274	0.000000	0.260000	266.600000	40.583185	-0.021495	0.010000	16.000000	-112.383579	107.601139	0.000000	86.900000
2021-05-21	19:44:00	1	6700000000	5692742438	0.240930	0.000000	0.260000	266.500000	40.583183	-0.021742	0.010000	16.000000	-112.383608	110.028453	0.000000	87.900000
2021-05-21	19:44:00	1	6800000000	5792742438	0.184240	0.000000	0.240000	266.500000	40.583182	0.021916	0.010000	16.000000	-112.383637	112.479222	0.000000	88.600000
2021-05-21	19:44:00	1	6900000000	5892742438	0.269274	0.000000	0.230000	266.600000	40.583181	0.000000	-0.010000	16.000000	-112.383666	114.952699	0.000000	89.200000
