"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"Lateral Acceleration"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"
2021-05-21	13:43:39	0	15000000000	15000000000	-112.386305	485.740093	-0.619344	-0.531094	0.750030	40.581637	0.121652	116.983715
2021-05-21	13:43:39	0	15100000000	15100000000	-112.386276	488.994958	-0.588897	-0.494741	0.739753	40.581618	0.122341	117.383716
2021-05-21	13:43:39	0	15200000000	15200000000	-112.386247	492.259915	-0.541394	-0.457801	0.730690	40.581598	0.122366	117.687714
2021-05-21	13:43:39	0	15300000000	15300000000	-112.386218	495.534735	-0.469759	-0.412271	0.725358	40.581579	0.121142	118.083715
2021-05-21	13:43:39	0	15400000000	15400000000	-112.386188	498.820427	-0.397988	-0.355983	0.724214	40.581559	0.118644	118.483716
2021-05-21	13:43:39	0	15500000000	15500000000	-112.386158	502.117478	-0.347480	-0.309662	0.727311	40.581540	0.119766	118.883706
2021-05-21	13:43:39	0	15600000000	15600000000	-112.386127	505.426668	-0.318831	-0.268058	0.734784	40.581521	0.121652	119.379711
2021-05-21	13:43:39	0	15700000000	15700000000	-112.386096	508.748473	-0.304846	-0.230303	0.744468	40.581503	0.122952	119.783704
2021-05-21	13:43:39	0	15800000000	15800000000	-112.386065	512.082655	-0.293121	-0.196372	0.750270	40.581484	0.120556	120.279711
2021-05-21	13:43:39	0	15900000000	15900000000	-112.386034	515.429461	-0.269920	-0.165653	0.743505	40.581465	0.114948	120.683703
2021-05-21	13:43:39	0	16000000000	16000000000	-112.386003	518.788643	-0.230493	-0.138120	0.726831	40.581446	0.104317	121.179710
2021-05-21	13:43:39	0	16100000000	16100000000	-112.385971	522.159681	-0.183093	-0.114998	0.717887	40.581427	0.091035	121.583703
2021-05-21	13:43:39	0	16200000000	16200000000	-112.385940	525.539759	-0.146964	-0.096949	0.726294	40.581408	0.077652	121.791697
2021-05-21	13:43:39	0	16300000000	16300000000	-112.385908	528.926920	-0.131153	-0.084611	0.740288	40.581389	0.067327	122.087701
2021-05-21	13:43:39	0	16400000000	16400000000	-112.385876	532.320773	-0.115946	-0.077396	0.734884	40.581370	0.062024	122.291693
2021-05-21	13:43:39	0	16500000000	16500000000	-112.385845	535.719779	-0.084260	-0.075892	0.681059	40.581351	0.064268	122.443686
2021-05-21	13:43:39	0	16600000000	16600000000	-112.385813	539.123466	-0.059544	-0.074618	0.581189	40.581332	0.074771	122.593689
2021-05-21	13:43:39	0	16700000000	16700000000	-112.385781	542.533249	-0.073938	-0.067836	0.525359	40.581314	0.089276	122.887706
2021-05-21	13:43:39	0	16800000000	16800000000	-112.385749	545.951241	-0.113214	-0.049813	0.620945	40.581295	0.104547	123.187701
2021-05-21	13:43:39	0	16900000000	16900000000	-112.385717	549.379303	-0.135388	-0.018195	0.798625	40.581276	0.116662	123.579698
2021-05-21	13:43:39	0	17000000000	17000000000	-112.385684	552.820217	-0.128358	0.033683	0.862602	40.581257	0.122717	124.169706
2021-05-21	13:43:39	0	17100000000	17100000000	-112.385652	556.274972	-0.103055	0.107166	0.775238	40.581238	0.119976	124.579690
2021-05-21	13:43:39	0	17200000000	17200000000	-112.385619	559.742357	-0.055366	0.197475	0.692510	40.581219	0.110735	125.074689
2021-05-21	13:43:39	0	17300000000	17300000000	-112.385587	563.221864	0.030715	0.299510	0.688788	40.581199	0.095726	125.479689
2021-05-21	13:43:39	0	17400000000	17400000000	-112.385554	566.711206	0.151207	0.409384	0.700704	40.581179	0.076192	125.784695
2021-05-21	13:43:39	0	17500000000	17500000000	-112.385523	570.207625	0.281244	0.522063	0.688904	40.581159	0.054619	125.989692
2021-05-21	13:43:39	0	17600000000	17600000000	-112.385491	573.708595	0.407192	0.626393	0.669753	40.581138	0.034161	126.094697
2021-05-21	13:43:39	0	17700000000	17700000000	-112.385461	577.212612	0.532850	0.717562	0.660102	40.581117	0.014977	126.194703
2021-05-21	13:43:39	0	17800000000	17800000000	-112.385430	580.719037	0.648541	0.792320	0.661098	40.581095	-0.002326	126.294698
2021-05-21	13:43:39	0	17900000000	17900000000	-112.385401	584.226330	0.739632	0.849902	0.647704	40.581073	-0.017112	126.252203
