"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"Lateral Acceleration"	"GPS Speed"
2021-05-22	08:32:58	0	6800000000	6800000000	-112.385612	251.590203	-0.101385	-0.164797	40.583157	-0.691444	-0.218699	120.815695
2021-05-22	08:32:58	0	6900000000	6900000000	-112.385650	254.914275	-0.118822	-0.061414	40.583156	-0.641835	-0.214611	118.507720
2021-05-22	08:32:58	0	7000000000	7000000000	-112.385688	258.174462	-0.147502	0.096640	40.583155	-0.578077	-0.210340	116.147711
2021-05-22	08:32:58	0	7100000000	7100000000	-112.385725	261.376030	-0.192165	0.204080	40.583154	-0.506391	-0.222443	114.263729
2021-05-22	08:32:58	0	7200000000	7200000000	-112.385761	264.527546	-0.253348	0.290997	40.583153	-0.431034	-0.284852	112.579737
2021-05-22	08:32:58	0	7300000000	7300000000	-112.385797	267.635833	-0.330413	0.416926	40.583151	-0.354020	-0.422525	111.111732
2021-05-22	08:32:58	0	7400000000	7400000000	-112.385833	270.709517	-0.422417	0.528152	40.583149	-0.278637	-0.602710	110.051735
2021-05-22	08:32:58	0	7500000000	7500000000	-112.385868	273.758777	-0.524389	0.572962	40.583146	-0.209093	-0.753339	109.443727
2021-05-22	08:32:58	0	7600000000	7600000000	-112.385904	276.790460	-0.625800	0.595997	40.583143	-0.146661	-0.842698	108.775727
2021-05-22	08:32:58	0	7700000000	7700000000	-112.385939	279.808929	-0.719894	0.644960	40.583139	-0.092565	-0.892739	108.483736
2021-05-22	08:32:58	0	7800000000	7800000000	-112.385974	282.819842	-0.802899	0.705881	40.583134	-0.047493	-0.920247	108.283735
2021-05-22	08:32:58	0	7900000000	7900000000	-112.386008	285.826370	-0.871054	0.747545	40.583129	-0.013141	-0.928196	108.113731
2021-05-22	08:32:58	0	8000000000	8000000000	-112.386043	288.832508	-0.922333	0.763427	40.583123	0.007725	-0.938186	108.303234
2021-05-22	08:32:58	0	8100000000	8100000000	-112.386077	291.841380	-0.959948	0.759605	40.583115	0.017252	-0.969060	108.353243
