"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Longitude"	"Throttle Position"	"Longitudinal Acceleration"	"GPS Distance"	"GPS Lateral Acceleration"	"Heading"	"Latitude"	"Lateral Acceleration"	"RPM"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Number of Satellites"
2021-05-22	19:25:00	1	4300000000	3293567991	-112.383848	0.000000	-0.120000	154.408604	0.000000	269.700000	40.583145	-0.040000	0.000000	-0.070862	132.200000	17.000000
2021-05-22	19:25:00	1	4400000000	3393567991	-112.383891	0.000000	-0.110000	158.078776	0.000000	269.600000	40.583145	-0.040000	0.000000	-0.028345	132.000000	17.000000
2021-05-22	19:25:00	1	4500000000	3493567991	-112.383935	0.000000	-0.090000	161.745575	0.065301	269.700000	40.583145	-0.030000	0.000000	-0.014172	132.000000	17.000000
2021-05-22	19:25:00	1	4600000000	3593567991	-112.383978	0.000000	-0.070000	165.411184	0.032626	269.800000	40.583145	-0.020000	0.000000	0.000000	131.900000	17.000000
2021-05-22	19:25:00	1	4700000000	3693567991	-112.384022	0.000000	-0.060000	169.077123	0.000000	269.800000	40.583144	0.000000	0.000000	0.042517	132.000000	17.000000
2021-05-22	19:25:00	1	4800000000	3793567991	-112.384065	0.000000	-0.040000	172.747825	-0.032700	269.800000	40.583144	0.010000	0.000000	0.113379	132.200000	17.000000
2021-05-22	19:25:00	1	4900000000	3893567991	-112.384109	0.000000	-0.030000	176.428116	-0.065697	269.700000	40.583144	0.010000	0.000000	0.113379	132.800000	17.000000
2021-05-22	19:25:00	1	5000000000	3993567991	-112.384152	0.000000	-0.020000	180.119518	-0.065796	269.600000	40.583144	0.030000	0.000000	0.085034	133.000000	17.000000
2021-05-22	19:25:00	1	5100000000	4093567991	-112.384197	0.000000	0.010000	183.819650	-0.032997	269.500000	40.583143	0.040000	0.000000	0.099206	133.400000	17.000000
2021-05-22	19:25:00	1	5200000000	4193567991	-112.384241	0.000000	0.010000	187.529174	0.000000	269.500000	40.583143	0.030000	0.000000	0.085034	133.700000	17.000000
2021-05-22	19:25:00	1	5300000000	4293567991	-112.384285	0.000000	0.030000	191.247495	0.033145	269.500000	40.583143	0.030000	0.000000	0.099206	134.000000	17.000000
2021-05-22	19:25:00	1	5400000000	4393567991	-112.384329	0.000000	0.060000	194.974942	0.033244	269.600000	40.583142	0.030000	0.000000	0.085034	134.400000	16.000000
2021-05-22	19:25:00	1	5500000000	4493567991	-112.384373	0.000000	0.040000	198.710921	-0.033294	269.600000	40.583142	0.030000	0.000000	0.070862	134.600000	17.000000
2021-05-22	19:25:00	1	5600000000	4593567991	-112.384418	0.000000	0.060000	202.454440	-0.033368	269.500000	40.583142	0.030000	0.000000	0.099206	134.900000	17.000000
2021-05-22	19:25:00	1	5700000000	4693567991	-112.384462	0.000000	0.060000	206.207151	0.000000	269.500000	40.583142	0.030000	0.000000	0.099206	135.300000	17.000000
2021-05-22	19:25:00	1	5800000000	4793567991	-112.384507	0.000000	0.050000	209.969189	0.033541	269.500000	40.583141	0.030000	0.000000	0.070862	135.600000	17.000000
2021-05-22	19:25:00	1	5900000000	4893567991	-112.384552	0.000000	0.070000	213.738435	0.067181	269.600000	40.583141	0.010000	0.000000	0.056689	135.800000	17.000000
2021-05-22	19:25:00	1	6000000000	4993567991	-112.384597	0.000000	0.040000	217.513700	0.067280	269.700000	40.583141	-0.020000	0.000000	0.070862	136.000000	17.000000
2021-05-22	19:25:00	1	6100000000	5093567991	-112.384641	0.000000	0.040000	221.296372	0.067429	269.800000	40.583141	0.000000	0.000000	0.113379	136.300000	17.000000
2021-05-22	19:25:00	1	6200000000	5193567991	-112.384687	0.000000	0.060000	225.089031	0.033838	269.900000	40.583141	-0.010000	0.000000	0.099206	136.800000	17.000000
