"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"Throttle Position"	"Longitude"	"Lateral Acceleration"	"RPM"	"GPS Distance"	"GPS Lateral Acceleration"	"Longitudinal Acceleration"	"Latitude"	"GPS Longitudinal Acceleration"	"GPS Speed"	"Heading"	"Number of Satellites"
2021-05-21	21:47:00	1	5600000000	4594834802	0.000000	-112.383365	-0.080000	0.000000	92.190130	0.019863	0.260000	40.583180	0.283447	80.300000	266.100000	16.000000
2021-05-21	21:47:00	1	5700000000	4694834802	0.000000	-112.383391	-0.050000	0.000000	94.430056	0.060107	0.280000	40.583178	0.240930	81.000000	266.100000	16.000000
2021-05-21	21:47:00	1	5800000000	4794834802	0.000000	-112.383417	-0.070000	0.000000	96.694851	0.040566	0.280000	40.583177	0.297619	82.000000	266.400000	16.000000
2021-05-21	21:47:00	1	5900000000	4894834802	0.000000	-112.383444	-0.080000	0.000000	98.986561	0.020555	0.270000	40.583176	0.226757	83.100000	266.300000	16.000000
2021-05-21	21:47:00	1	6000000000	4994834802	0.000000	-112.383472	-0.080000	0.000000	101.302277	0.103394	0.250000	40.583174	0.226757	83.600000	266.500000	16.000000
2021-05-21	21:47:00	1	6100000000	5094834802	0.000000	-112.383499	-0.020000	0.000000	103.640749	0.041902	0.250000	40.583173	0.297619	84.700000	266.800000	16.000000
2021-05-21	21:47:00	1	6200000000	5194834802	0.000000	-112.383527	-0.050000	0.000000	106.007004	0.000000	0.240000	40.583172	0.269274	85.700000	266.700000	16.000000
2021-05-21	21:47:00	1	6300000000	5294834802	0.000000	-112.383555	-0.030000	0.000000	108.399377	0.000000	0.230000	40.583171	0.226757	86.600000	266.800000	16.000000
2021-05-21	21:47:00	1	6400000000	5394834802	0.000000	-112.383583	0.020000	0.000000	110.815096	-0.021594	0.260000	40.583169	0.240930	87.300000	266.700000	16.000000
2021-05-21	21:47:00	1	6500000000	5494834802	0.000000	-112.383611	0.010000	0.000000	113.253831	-0.043683	0.250000	40.583168	0.240930	88.300000	266.700000	16.000000
2021-05-21	21:47:00	1	6600000000	5594834802	0.000000	-112.383640	0.010000	0.000000	115.715779	0.000000	0.250000	40.583167	0.198413	89.000000	266.500000	16.000000
2021-05-21	21:47:00	1	6700000000	5694834802	0.000000	-112.383670	0.020000	0.000000	118.198827	0.066563	0.230000	40.583166	0.255102	89.700000	266.700000	16.000000
2021-05-21	21:47:00	1	6800000000	5794834802	0.000000	-112.383699	0.020000	0.000000	120.705556	0.022460	0.230000	40.583164	0.255102	90.800000	266.800000	16.000000
2021-05-21	21:47:00	1	6900000000	5894834802	0.000000	-112.383729	0.050000	0.000000	123.234889	-0.022633	0.250000	40.583163	0.099206	91.500000	266.800000	16.000000
2021-05-21	21:47:00	1	7000000000	5994834802	0.000000	-112.383759	0.040000	0.000000	125.776244	0.000000	0.220000	40.583162	0.056689	91.500000	266.700000	16.000000
