"Start Date"	"Start Time"	"Lap Number"	"Session Time"	"Lap Time"	"GPS Longitudinal Acceleration"	"Throttle Position"	"Latitude"	"GPS Lateral Acceleration"	"RPM"	"Longitudinal Acceleration"	"Lateral Acceleration"	"Longitude"	"GPS Distance"	"Heading"	"Number of Satellites"	"GPS Speed"
2021-05-21	16:41:00	0	9900000000	9900000000	0.070862	0.000000	40.583177	0.000000	0.000000	0.070000	0.000000	-112.384663	202.438939	268.100000	19.000000	89.700000
2021-05-21	16:41:00	0	10000000000	10000000000	0.141723	0.000000	40.583176	0.022287	0.000000	0.090000	-0.020000	-112.384693	204.937776	268.100000	19.000000	90.100000
2021-05-21	16:41:00	0	10100000000	10100000000	0.127551	0.000000	40.583175	0.044870	0.000000	0.090000	-0.030000	-112.384723	207.448947	268.200000	19.000000	90.700000
2021-05-21	16:41:00	0	10200000000	10200000000	0.113379	0.000000	40.583175	0.067528	0.000000	0.100000	-0.030000	-112.384753	209.972368	268.300000	19.000000	91.000000
2021-05-21	16:41:00	0	10300000000	10300000000	0.141723	0.000000	40.583174	0.067899	0.000000	0.120000	-0.040000	-112.384783	212.508098	268.500000	19.000000	91.500000
2021-05-21	16:41:00	0	10400000000	10400000000	0.127551	0.000000	40.583174	0.068270	0.000000	0.130000	-0.050000	-112.384813	215.056913	268.600000	19.000000	92.000000
2021-05-21	16:41:00	0	10500000000	10500000000	0.113379	0.000000	40.583173	0.091422	0.000000	0.140000	-0.050000	-112.384843	217.618143	268.800000	19.000000	92.400000
2021-05-21	16:41:00	0	10600000000	10600000000	0.099206	0.000000	40.583173	0.068863	0.000000	0.140000	-0.060000	-112.384873	220.190612	269.000000	19.000000	92.800000
2021-05-21	16:41:00	0	10700000000	10700000000	0.085034	0.000000	40.583172	0.000000	0.000000	0.120000	-0.060000	-112.384904	222.773722	269.100000	19.000000	93.100000
2021-05-21	16:41:00	0	10800000000	10800000000	0.056689	0.000000	40.583172	0.023103	0.000000	0.130000	-0.050000	-112.384934	225.362351	269.000000	19.000000	93.400000
2021-05-21	16:41:00	0	10900000000	10900000000	0.014172	0.000000	40.583172	0.092510	0.000000	0.120000	-0.050000	-112.384965	227.957266	269.200000	19.000000	93.500000
2021-05-21	16:41:00	0	11000000000	11000000000	0.000000	0.000000	40.583171	0.046255	0.000000	0.110000	-0.040000	-112.384996	230.554238	269.400000	19.000000	93.500000
2021-05-21	16:41:00	0	11100000000	11100000000	-0.014172	0.000000	40.583171	0.023128	0.000000	0.110000	-0.040000	-112.385026	233.151149	269.400000	19.000000	93.500000
2021-05-21	16:41:00	0	11200000000	11200000000	-0.028345	0.000000	40.583171	0.023103	0.000000	0.080000	-0.030000	-112.385057	235.746795	269.500000	19.000000	93.400000
2021-05-21	16:41:00	0	11300000000	11300000000	0.000000	0.000000	40.583171	0.000000	0.000000	0.070000	-0.020000	-112.385087	238.340532	269.500000	19.000000	93.300000
2021-05-21	16:41:00	0	11400000000	11400000000	0.014172	0.000000	40.583171	-0.023103	0.000000	0.070000	-0.010000	-112.385118	240.933791	269.500000	19.000000	93.400000
2021-05-21	16:41:00	0	11500000000	11500000000	0.014172	0.000000	40.583171	-0.046206	0.000000	0.080000	0.010000	-112.385149	243.528254	269.400000	19.000000	93.400000
2021-05-21	16:41:00	0	11600000000	11600000000	0.070862	0.000000	40.583170	0.000000	0.000000	0.080000	0.020000	-112.385179	246.125263	269.300000	19.000000	93.500000
2021-05-21	16:41:00	0	11700000000	11700000000	0.113379	0.000000	40.583170	0.000000	0.000000	0.090000	0.030000	-112.385210	248.728911	269.400000	19.000000	93.900000
2021-05-21	16:41:00	0	11800000000	11800000000	0.070862	0.000000	40.583170	-0.023325	0.000000	0.100000	0.030000	-112.385241	251.341964	269.300000	19.000000	94.300000
2021-05-21	16:41:00	0	11900000000	11900000000	0.028345	0.000000	40.583170	0.023350	0.000000	0.100000	0.020000	-112.385271	253.961916	269.300000	20.000000	94.400000
2021-05-21	16:41:00	0	12000000000	12000000000	0.070862	0.000000	40.583169	0.070125	0.000000	0.100000	0.010000	-112.385302	256.586416	269.400000	20.000000	94.500000
2021-05-21	16:41:00	0	12100000000	12100000000	0.113379	0.000000	40.583168	0.070422	0.000000	0.110000	-0.020000	-112.385332	259.218118	269.600000	20.000000	94.900000
2021-05-21	16:41:00	0	12200000000	12200000000	0.070862	0.000000	40.583168	0.023573	0.000000	0.120000	-0.030000	-112.385363	261.859257	269.700000	20.000000	95.300000
